epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3625.35,1.49816,1.22074,1.04344,0.46433,0.38942,0.36682,0.21375,1.40057,1.121,1.0346,0.007228,0.007228,0.007228
44,3709.15,1.48484,1.20554,1.03999,0.46694,0.39232,0.36853,0.21541,1.39544,1.1116,1.03433,0.007162,0.007162,0.007162
45,3793.23,1.48279,1.20533,1.03957,0.45992,0.40203,0.37085,0.21738,1.39325,1.10816,1.03152,0.007096,0.007096,0.007096
46,3878.06,1.48527,1.20863,1.04216,0.4883,0.39772,0.37773,0.22041,1.38613,1.10101,1.03093,0.00703,0.00703,0.00703
47,3962.38,1.47738,1.20306,1.03852,0.46981,0.40142,0.37426,0.21852,1.39096,1.10698,1.03289,0.006964,0.006964,0.006964
48,4046.82,1.48428,1.19807,1.03996,0.47234,0.39902,0.37575,0.21985,1.38716,1.09957,1.02945,0.006898,0.006898,0.006898
49,4130.79,1.475,1.19208,1.03566,0.49341,0.40036,0.38232,0.2237,1.38329,1.10202,1.03197,0.006832,0.006832,0.006832
50,4214.85,1.47404,1.19933,1.03786,0.47617,0.40401,0.38098,0.22384,1.38124,1.09529,1.02745,0.006766,0.006766,0.006766
51,4299.24,1.47161,1.1907,1.03509,0.48586,0.40586,0.38437,0.22528,1.3817,1.09639,1.0257,0.0067,0.0067,0.0067
52,4383.13,1.46729,1.18099,1.03556,0.49623,0.39172,0.38079,0.22362,1.38394,1.09565,1.02547,0.006634,0.006634,0.006634
53,4468.24,1.4736,1.18892,1.0365,0.48629,0.40983,0.38688,0.22694,1.37852,1.087,1.02503,0.006568,0.006568,0.006568
54,4552.78,1.46941,1.17885,1.03364,0.49678,0.40884,0.39424,0.23181,1.37592,1.07536,1.02554,0.006502,0.006502,0.006502
55,4636.52,1.46231,1.17517,1.03617,0.49974,0.39817,0.39146,0.23,1.37863,1.08164,1.02598,0.006436,0.006436,0.006436
56,4720.73,1.46448,1.17469,1.03211,0.48484,0.40448,0.38847,0.22808,1.37542,1.08441,1.02687,0.00637,0.00637,0.00637
57,4805.77,1.46308,1.17269,1.03174,0.48848,0.4022,0.38954,0.22871,1.36815,1.07692,1.02246,0.006304,0.006304,0.006304
58,4890.13,1.45342,1.16438,1.03062,0.4932,0.4053,0.39176,0.23112,1.3647,1.07669,1.0214,0.006238,0.006238,0.006238
59,4974.26,1.46289,1.17315,1.032,0.48336,0.41569,0.39432,0.23165,1.36775,1.06684,1.0235,0.006172,0.006172,0.006172
60,5058.34,1.45806,1.16199,1.0294,0.50816,0.41674,0.40021,0.23551,1.3658,1.05913,1.02164,0.006106,0.006106,0.006106
61,5142.69,1.45031,1.16162,1.02796,0.50765,0.41386,0.40041,0.23762,1.36554,1.06522,1.02023,0.00604,0.00604,0.00604
62,5227.18,1.45868,1.16615,1.02881,0.49391,0.42036,0.40051,0.23577,1.36157,1.0627,1.0192,0.005974,0.005974,0.005974
63,5311.44,1.44764,1.15747,1.02832,0.50634,0.41397,0.40174,0.23775,1.35834,1.06308,1.0178,0.005908,0.005908,0.005908
