epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3563.11,1.48975,0.92557,1.04394,0.76879,0.58378,0.66858,0.38847,1.3964,0.84246,1.041,0.007228,0.007228,0.007228
44,3645.5,1.48006,0.91994,1.04288,0.75774,0.59376,0.67125,0.38888,1.4028,0.84749,1.04195,0.007162,0.007162,0.007162
45,3728.08,1.47554,0.91573,1.04004,0.7618,0.59211,0.67073,0.38895,1.40086,0.84185,1.03971,0.007096,0.007096,0.007096
46,3811.11,1.48029,0.91887,1.04369,0.76469,0.59508,0.67674,0.39281,1.39547,0.84539,1.03604,0.00703,0.00703,0.00703
47,3894.44,1.47123,0.9108,1.03932,0.76181,0.59157,0.67257,0.39044,1.39351,0.8394,1.03221,0.006964,0.006964,0.006964
48,3976.52,1.47982,0.9142,1.04152,0.76116,0.60372,0.6823,0.39489,1.38924,0.84696,1.03402,0.006898,0.006898,0.006898
49,4058.95,1.46887,0.90575,1.0368,0.77054,0.59588,0.68013,0.39753,1.37775,0.82883,1.0309,0.006832,0.006832,0.006832
50,4141.02,1.46645,0.90617,1.0383,0.77033,0.59134,0.67568,0.39455,1.39166,0.82824,1.03606,0.006766,0.006766,0.006766
51,4223.38,1.4651,0.90532,1.03523,0.76397,0.59933,0.68381,0.39795,1.37478,0.82968,1.03045,0.0067,0.0067,0.0067
52,4305.66,1.46247,0.89904,1.03613,0.7581,0.60037,0.67934,0.39643,1.38367,0.83012,1.03369,0.006634,0.006634,0.006634
53,4388.68,1.46731,0.90421,1.03741,0.76954,0.60259,0.68303,0.3988,1.37888,0.81916,1.03159,0.006568,0.006568,0.006568
54,4471.53,1.45959,0.89629,1.03305,0.77264,0.60343,0.6876,0.4002,1.38234,0.82666,1.03049,0.006502,0.006502,0.006502
55,4553.15,1.45561,0.89523,1.03671,0.77178,0.60537,0.68881,0.40188,1.37457,0.81868,1.02837,0.006436,0.006436,0.006436
56,4635.58,1.45975,0.89463,1.03291,0.77738,0.60238,0.68796,0.40248,1.37153,0.81766,1.02712,0.00637,0.00637,0.00637
57,4718.46,1.46164,0.89849,1.03527,0.77719,0.60537,0.69052,0.40366,1.36906,0.81739,1.02427,0.006304,0.006304,0.006304
58,4800.58,1.45012,0.88719,1.03253,0.77558,0.60965,0.69198,0.40465,1.3626,0.81471,1.02381,0.006238,0.006238,0.006238
59,4882.92,1.45772,0.89542,1.03341,0.77701,0.60729,0.68843,0.40337,1.37273,0.81613,1.02871,0.006172,0.006172,0.006172
60,4965.54,1.45244,0.88727,1.0313,0.77602,0.60687,0.6905,0.40352,1.37,0.8073,1.02667,0.006106,0.006106,0.006106
61,5047.87,1.44881,0.88611,1.03014,0.77856,0.60793,0.69279,0.40561,1.36526,0.80508,1.0246,0.00604,0.00604,0.00604
62,5130.9,1.45006,0.88666,1.02868,0.77603,0.60612,0.6914,0.40519,1.36288,0.80592,1.02335,0.005974,0.005974,0.005974
63,5213.02,1.44172,0.88034,1.02892,0.7822,0.60989,0.69483,0.4075,1.35917,0.80411,1.02182,0.005908,0.005908,0.005908
64,5294.86,1.4412,0.87907,1.0275,0.7857,0.60677,0.69519,0.40772,1.36032,0.80184,1.02172,0.005842,0.005842,0.005842
65,5377.62,1.43729,0.87222,1.02453,0.77648,0.61467,0.70033,0.41038,1.35559,0.79682,1.02248,0.005776,0.005776,0.005776
66,5460.09,1.44695,0.88034,1.03057,0.77755,0.61368,0.69629,0.40912,1.35911,0.80376,1.02116,0.00571,0.00571,0.00571
67,5542.55,1.44438,0.88095,1.02674,0.78147,0.61314,0.69834,0.41128,1.35849,0.79706,1.02152,0.005644,0.005644,0.005644
68,5624.48,1.44298,0.87381,1.02575,0.784,0.61312,0.69877,0.41139,1.3533,0.79759,1.02049,0.005578,0.005578,0.005578
69,5706.9,1.4316,0.87089,1.02562,0.78328,0.61322,0.6979,0.4105,1.35412,0.79649,1.0189,0.005512,0.005512,0.005512
70,5788.93,1.4365,0.8691,1.02538,0.78201,0.61477,0.69863,0.41152,1.34985,0.79629,1.01918,0.005446,0.005446,0.005446
71,5871.14,1.43156,0.8642,1.02262,0.78948,0.61402,0.70085,0.4128,1.34823,0.78983,1.01751,0.00538,0.00538,0.00538
72,5953.51,1.4365,0.87064,1.02516,0.78024,0.61944,0.70374,0.41298,1.35025,0.79447,1.01821,0.005314,0.005314,0.005314
73,6036.22,1.43387,0.86494,1.02513,0.78016,0.62093,0.70354,0.41397,1.34642,0.78964,1.01737,0.005248,0.005248,0.005248
74,6119.24,1.43909,0.86648,1.02165,0.77652,0.62062,0.70323,0.41321,1.34459,0.79276,1.01692,0.005182,0.005182,0.005182
75,6201.22,1.42459,0.85944,1.02206,0.78076,0.61887,0.70359,0.41475,1.343,0.79208,1.01385,0.005116,0.005116,0.005116
76,6283.48,1.42574,0.86079,1.02532,0.78407,0.61998,0.70624,0.41653,1.33991,0.78598,1.01519,0.00505,0.00505,0.00505
77,6365.86,1.42593,0.86049,1.01994,0.78835,0.62088,0.70735,0.41689,1.34342,0.78519,1.01547,0.004984,0.004984,0.004984
78,6448.57,1.42704,0.85999,1.02039,0.78825,0.62021,0.70816,0.41747,1.34103,0.78509,1.01432,0.004918,0.004918,0.004918
79,6530.96,1.41843,0.85307,1.02026,0.78474,0.62152,0.70731,0.41769,1.34041,0.7854,1.01352,0.004852,0.004852,0.004852
80,6613.14,1.42643,0.86122,1.0212,0.7893,0.61984,0.70785,0.41759,1.3404,0.78212,1.01357,0.004786,0.004786,0.004786
81,6695.86,1.42354,0.85191,1.0201,0.78896,0.62293,0.70977,0.41843,1.34003,0.78507,1.01277,0.00472,0.00472,0.00472
82,6778.41,1.42105,0.85041,1.01691,0.78848,0.62289,0.7099,0.41863,1.33896,0.7825,1.01274,0.004654,0.004654,0.004654
83,6860.69,1.417,0.85126,1.01816,0.79074,0.6209,0.70924,0.41908,1.33685,0.7813,1.01292,0.004588,0.004588,0.004588
