epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,38.0904,1.47727,0.94643,1.08948,0.88062,0.76812,0.81437,0.46944,1.48502,1.01248,1.04583,0.0012108,0.0012108,0.0012108
43,38.7607,1.50691,1.07585,1.11972,0.88062,0.76812,0.81437,0.46944,1.48502,1.01248,1.04583,0.00122876,0.00122876,0.00122876
44,39.4713,1.43931,0.86398,1.03375,0.90114,0.7663,0.81775,0.47954,1.46738,0.98185,1.03659,0.00124619,0.00124619,0.00124619
45,40.136,1.44124,0.96201,1.05973,0.90114,0.7663,0.81775,0.47954,1.46738,0.98185,1.03659,0.00126309,0.00126309,0.00126309
46,40.8198,1.53154,0.9982,1.08104,0.90447,0.77717,0.83513,0.49799,1.44017,0.94803,1.03188,0.00127946,0.00127946,0.00127946
47,41.5882,1.41799,0.81952,1.01899,0.90447,0.77717,0.83513,0.49799,1.44017,0.94803,1.03188,0.0012953,0.0012953,0.0012953
48,42.305,1.48285,0.88781,1.05618,0.90166,0.81341,0.85588,0.51901,1.40811,0.89004,1.0284,0.00131062,0.00131062,0.00131062
49,42.9305,1.31024,0.96952,1.1814,0.90166,0.81341,0.85588,0.51901,1.40811,0.89004,1.0284,0.00132541,0.00132541,0.00132541
50,43.8157,1.44098,0.83134,1.01708,0.90959,0.82014,0.86437,0.52862,1.40425,0.85372,1.02985,0.00133967,0.00133967,0.00133967
51,44.4761,1.4362,0.94278,1.07442,0.90959,0.82014,0.86437,0.52862,1.40425,0.85372,1.02985,0.00134,0.00134,0.00134
52,45.177,1.43969,0.7832,0.99965,0.90458,0.82436,0.86559,0.5135,1.45149,0.84231,1.04069,0.0013268,0.0013268,0.0013268
53,45.7984,1.35015,0.8224,1.01329,0.90458,0.82436,0.86559,0.5135,1.45149,0.84231,1.04069,0.0013136,0.0013136,0.0013136
54,46.4219,1.49117,0.97611,1.08546,0.91378,0.80641,0.86833,0.50144,1.48082,0.83753,1.04415,0.0013004,0.0013004,0.0013004
55,47.0066,1.37814,0.9454,1.13446,0.91378,0.80641,0.86833,0.50144,1.48082,0.83753,1.04415,0.0012872,0.0012872,0.0012872
56,47.6306,1.40914,0.82524,1.04657,0.91407,0.80933,0.86602,0.50441,1.44764,0.82573,1.0333,0.001274,0.001274,0.001274
57,48.2965,1.31939,0.84795,1.032,0.91407,0.80933,0.86602,0.50441,1.44764,0.82573,1.0333,0.0012608,0.0012608,0.0012608
58,48.9435,1.38318,0.83782,0.98344,0.92527,0.80797,0.86761,0.5221,1.39017,0.80395,1.02316,0.0012476,0.0012476,0.0012476
59,49.5981,1.37299,0.81023,1.05731,0.92527,0.80797,0.86761,0.5221,1.39017,0.80395,1.02316,0.0012344,0.0012344,0.0012344
60,50.2151,1.48613,0.84628,1.07583,0.93481,0.80531,0.87078,0.53101,1.35277,0.77813,1.01851,0.0012212,0.0012212,0.0012212
61,50.896,1.46863,0.78239,0.99574,0.93481,0.80531,0.87078,0.53101,1.35277,0.77813,1.01851,0.001208,0.001208,0.001208
62,51.7469,1.32433,0.79165,0.98813,0.94087,0.81159,0.87619,0.54242,1.34103,0.77368,1.01697,0.0011948,0.0011948,0.0011948
63,52.401,1.43438,0.80744,1.02185,0.94087,0.81159,0.87619,0.54242,1.34103,0.77368,1.01697,0.0011816,0.0011816,0.0011816
64,53.0769,1.34381,0.76403,1.05383,0.92611,0.81736,0.87712,0.53612,1.34197,0.77931,1.01877,0.0011684,0.0011684,0.0011684
65,53.6759,1.66454,1.24019,1.22432,0.92611,0.81736,0.87712,0.53612,1.34197,0.77931,1.01877,0.0011552,0.0011552,0.0011552
66,54.2481,1.16235,0.8565,1.10227,0.91262,0.81361,0.87169,0.53037,1.34811,0.79025,1.02316,0.001142,0.001142,0.001142
67,54.8299,1.37006,0.7694,1.03333,0.91262,0.81361,0.87169,0.53037,1.34811,0.79025,1.02316,0.0011288,0.0011288,0.0011288
68,55.4434,1.27744,0.71914,1.00224,0.91564,0.81159,0.87121,0.52873,1.35235,0.80633,1.02567,0.0011156,0.0011156,0.0011156
69,56.07,1.32698,0.79628,1.00427,0.91564,0.81159,0.87121,0.52873,1.35235,0.80633,1.02567,0.0011024,0.0011024,0.0011024
70,56.7056,1.34476,0.78339,1.0812,0.90016,0.81522,0.868,0.52594,1.35713,0.80774,1.02737,0.0010892,0.0010892,0.0010892
71,57.2954,1.34403,0.74231,1.04089,0.90016,0.81522,0.868,0.52594,1.35713,0.80774,1.02737,0.001076,0.001076,0.001076
72,57.9589,1.35791,0.73075,1.00503,0.9053,0.80797,0.86781,0.52164,1.37954,0.81012,1.03447,0.0010628,0.0010628,0.0010628
73,58.7128,1.40079,0.75126,1.02867,0.9053,0.80797,0.86781,0.52164,1.37954,0.81012,1.03447,0.0010496,0.0010496,0.0010496
74,59.3529,1.31127,0.71149,0.99529,0.90357,0.81482,0.86627,0.51173,1.42093,0.81625,1.04856,0.0010364,0.0010364,0.0010364
75,59.9408,1.25593,0.74769,1.07051,0.90357,0.81482,0.86627,0.51173,1.42093,0.81625,1.04856,0.0010232,0.0010232,0.0010232
76,60.5532,1.24966,0.7488,1.05599,0.90062,0.82091,0.86834,0.50526,1.46218,0.82318,1.06396,0.00101,0.00101,0.00101
77,61.1529,1.27243,0.90129,1.0897,0.90062,0.82091,0.86834,0.50526,1.46218,0.82318,1.06396,0.0009968,0.0009968,0.0009968
78,61.8141,1.33644,0.68612,0.96499,0.90658,0.82626,0.86687,0.49739,1.49652,0.82696,1.07863,0.0009836,0.0009836,0.0009836
79,62.4204,1.32535,0.71376,1.02825,0.90658,0.82626,0.86687,0.49739,1.49652,0.82696,1.07863,0.0009704,0.0009704,0.0009704
80,63.0319,1.45872,0.76357,0.98814,0.91806,0.83224,0.87073,0.50122,1.49508,0.81722,1.07976,0.0009572,0.0009572,0.0009572
81,63.6769,1.34815,0.7713,1.02788,0.91806,0.83224,0.87073,0.50122,1.49508,0.81722,1.07976,0.000944,0.000944,0.000944
82,64.4345,1.13772,0.7551,1.06651,0.9302,0.83152,0.87217,0.50081,1.5072,0.79973,1.0838,0.0009308,0.0009308,0.0009308
83,65.0586,1.26043,0.72413,0.97778,0.9302,0.83152,0.87217,0.50081,1.5072,0.79973,1.0838,0.0009176,0.0009176,0.0009176
84,65.7038,1.30275,0.771,0.9926,0.93692,0.82428,0.86899,0.49655,1.5171,0.79656,1.08562,0.0009044,0.0009044,0.0009044
85,66.3482,1.18953,0.75221,1.02143,0.93692,0.82428,0.86899,0.49655,1.5171,0.79656,1.08562,0.0008912,0.0008912,0.0008912
86,66.9687,1.21385,0.75142,1.03705,0.93528,0.81155,0.86704,0.49287,1.50473,0.79232,1.07919,0.000878,0.000878,0.000878
87,67.5821,1.37924,0.75046,1.03723,0.93528,0.81155,0.86704,0.49287,1.50473,0.79232,1.07919,0.0008648,0.0008648,0.0008648
88,68.2359,1.36734,0.68073,0.98413,0.92555,0.81075,0.85832,0.50084,1.45491,0.78976,1.06356,0.0008516,0.0008516,0.0008516
89,68.8618,1.26641,0.65919,1.00147,0.92555,0.81075,0.85832,0.50084,1.45491,0.78976,1.06356,0.0008384,0.0008384,0.0008384
